,Jugador,Posición,PPP del eq. cuando jugaba,Goles a favor (+) o en contra(-) del eq. cuando jugaba
566,Abdellah Raihani,FW,0.00,-9.00
567,Antonio Raillo,DF,1.15,-0.16
568,Predrag Rajković,GK,1.00,-0.33
569,Ivan Rakitić,MF,0.56,-0.57
570,Largie Ramazani,"FW,MF",0.41,-0.75
571,Benito Ramírez,"FW,MF",1.00,-0.94
572,Sandro Ramírez,FW,0.74,-0.50
573,Jacobo Ramón,DF,0,0
574,Chris Ramos,"FW,MF",0.89,-0.48
575,Sergio Ramos,DF,1.07,-0.29
576,Abraham Rando,DF,0,0
577,Raphinha,"FW,MF",2.14,+1.05
578,Andrei Ratiu,"DF,MF",0.58,-1.29
579,Raúl,FW,1.09,-0.40
580,Abderrahman Rebbach,"FW,MF",0.70,-0.12
581,Pepe Reina,GK,1.80,+3.00
582,Álex Remiro,GK,1.62,+0.36
583,Chadi Riad,DF,1.46,+0.08
584,Diego Rico,DF,1.13,-0.18
585,Diego Rico,DF,0,0
586,Hugo Rincón,DF,0,0
587,Luis Rioja,"FW,MF",1.22,-0.40
588,Rodrigo Riquelme,"DF,MF",1.97,+0.06
589,Alberto Risco,MF,0.75,+0.66
590,Mihailo Ristić,"DF,MF",1.00,-0.11
591,Gorka Rivera Alonso,DF,0.00,0.00
592,Sergi Roberto,"MF,DF",2.64,+1.67
593,Lucas Robertone,MF,0.52,-0.57
594,Marc Roca,MF,1.31,-0.05
595,Sergio Rodelas,"FW,DF",0.00,-2.21
596,Rodri,"FW,MF",1.45,-0.26
597,Adrian Rodriguez,GK,0,0
598,Óscar Rodríguez Arnaiz,"MF,FW",1.13,+0.19
599,Damián Rodríguez,MF,1.80,+0.70
600,Dani Rodríguez,MF,1.06,-0.17
601,Guido Rodríguez,MF,1.58,+0.34
